lesson,mold1_ru,mold1_en,mold2_ru,mold2_en,m1_ex1_ru,m1_ex1_en,m1_ex2_ru,m1_ex2_en,m1_ex3_ru,m1_ex3_en,m1_ex4_ru,m1_ex4_en,m1_ex5_ru,m1_ex5_en,m2_ex1_ru,m2_ex1_en,m2_ex2_ru,m2_ex2_en,m2_ex3_ru,m2_ex3_en,m2_ex4_ru,m2_ex4_en,m2_ex5_ru,m2_ex5_en,exercise,tags
1,"(кто-то) вроде понимает, что…",(someone) kind of understands that…,Не стоит + инфинитив,It's not worth… / one shouldn't…,"он вроде понимает, что мы справимся.",he kind of understands that we'll manage.,"я вроде понимает, что мне нужно больше времени.",I kind of understands that I need more time.,"ты вроде понимает, что это не так страшно.",you kind of understands that it's not that scary.,"мы вроде понимает, что он просто устал.",we kind of understands that he's just tired.,"она вроде понимает, что мне нужно больше времени.",she kind of understands that I need more time.,Не стоит записать аудио,It's not worth record audio / one shouldn't…,Не стоит лечь спать пораньше,It's not worth go to bed earlier / one shouldn't…,Не стоит выйти на прогулку,It's not worth go for a walk / one shouldn't…,Не стоит повторить ещё раз,It's not worth repeat again / one shouldn't…,Не стоит поговорить с ним,It's not worth talk to him / one shouldn't…,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L001.m4a",SoarSystem::L001
2,"Прикол в том, что…",The funny thing is that…,Пора + инфинитив,It's time to…,"Прикол в том, что это не так страшно.",The funny thing is that it's not that scary.,"Прикол в том, что он просто устал?",The funny thing is that he's just tired.,"Прикол в том, что я не хочу спорить.",The funny thing is that I don't want to argue.,"Прикол в том, что он просто устал.",The funny thing is that he's just tired.,"Прикол в том, что я не хочу спорить.",The funny thing is that I don't want to argue.,Пора поговорить с ней,It's time to talk to her,Пора начать учиться,It's time to start studying,Пора перестать откладывать,It's time to stop procrastinating,Пора проверить это,It's time to check it,Пора повторить ещё раз,It's time to repeat again,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L002.m4a",SoarSystem::L002
3,"Как только… , …","As soon as…, …","(кто-то) точно надеется, что…",(someone) definitely hopes that…,"До того как я усну, я сделаю 5 минут.","Before I fall asleep, I'll do 5 minutes.","Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Если получится, я сделаю минимум.","If it works out, I'll do the minimum.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","она точно надеется, что это хорошая идея.",she definitely hopes that it's a good idea.,"ты точно надеется, что он просто устал?",you definitely hopes that he's just tired.,"мы точно надеется, что мы справимся.",we definitely hopes that we'll manage.,"они точно надеется, что мне нужно больше времени.",they definitely hopes that I need more time.,"он точно надеется, что он просто устал.",he definitely hopes that he's just tired.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L003.m4a",SoarSystem::L003
4,Можно ещё раз?,Can you repeat?,"(кто-то) чувствует, что…",(someone) feels that…,Что ты имеешь в виду?,What do you mean?,"Можно ещё раз, но помедленнее?","Can you repeat, but slower?",Что это значит в обычной речи?,What does this mean in everyday speech?,Можно вопрос? Я запутался/запуталась.,Can I ask a question? I'm confused.,Как сказать «мне лень» по-русски?,How do you say 'I can't be bothered' in Russian?,"ты чувствует, что он просто устал.",you feels that he's just tired.,"он чувствует, что он просто устал.",he feels that he's just tired.,"я чувствует, что всё зависит от ситуации.",I feels that it depends on the situation.,"мы чувствует, что мне нужно больше времени.",we feels that I need more time.,"они чувствует, что мы справимся.",they feels that we'll manage.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L004.m4a",SoarSystem::L004
5,Давай + инфинитив,Let's…,(кому-то) приходится + инфинитив,(someone) has to (forced to)…,Давай записать аудио,Let's record audio,Давай перестать откладывать,Let's stop procrastinating,Давай повторить ещё раз,Let's repeat again,Давай проверить это,Let's check it,Давай лечь спать пораньше,Let's go to bed earlier,мне приходится поговорить с ним,I has to (forced to)talk to him,ему приходится записать аудио,he has to (forced to)record audio,им приходится перестать откладывать,they has to (forced to)stop procrastinating,нам приходится проверить это,we has to (forced to)check it,тебе приходится продолжить учиться,you has to (forced to)continue studying,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L005.m4a",SoarSystem::L005
6,"(кто-то) только что понял(а), что…",(someone) just realised that…,"(кто-то) не удивится, что…",(someone) wouldn't be surprised that…,"они только что понял(а), что это реально помогает.",they just realised that it really helps.,"я только что понял(а), что это не так страшно.",I just realised that it's not that scary.,"он только что понял(а), что это реально помогает.",he just realised that it really helps.,"мы только что понял(а), что это не так страшно.",we just realised that it's not that scary.,"она только что понял(а), что мне нужно больше времени.",she just realised that I need more time.,"ты не удивится, что всё зависит от ситуации.",you wouldn't be surprised that it depends on the situation.,"они не удивится, что это нормально.",they wouldn't be surprised that it's normal.,"он не удивится, что мы справимся.",he wouldn't be surprised that we'll manage.,"она не удивится, что она права.",she wouldn't be surprised that she's right.,"я не удивится, что я не хочу спорить.",I wouldn't be surprised that I don't want to argue.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L006.m4a",SoarSystem::L006
7,"(кто-то) считает, что…",(someone) believes that…,Можно + инфинитив?,Can I / is it possible to…?,"ты считаешь, что это реально помогает.",you believes that it really helps.,"она считает, что он просто устал.",she believes that he's just tired.,"я считаю, что я не хочу спорить.",I believes that I don't want to argue.,"он считает, что она права.",he believes that she's right.,"мы считаем, что мне нужно больше времени.",we believes that I need more time.,Можно поговорить с ним?,Can I / is it possible to talk to him?,Можно начать учиться?,Can I / is it possible to start studying?,Можно записать аудио?,Can I / is it possible to record audio?,Можно повторить ещё раз?,Can I / is it possible to repeat again?,Можно выйти на прогулку?,Can I / is it possible to go for a walk?,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L007.m4a",SoarSystem::L007
8,"Кажется, что…",It seems that…,(кто-то) планирует + инфинитив,(someone) is planning to…,"Кажется, что всё зависит от ситуации.",It seems that it depends on the situation.,"Кажется, что мы справимся.",It seems that we'll manage.,"Кажется, что это нормально.",It seems that it's normal.,"Кажется, что это реально помогает.",It seems that it really helps.,"Кажется, что мы справимся.",It seems that we'll manage.,я планирует начать учиться,I is planning to start studying,ты планирует перестать откладывать,you is planning to stop procrastinating,они планирует повторить ещё раз,they is planning to repeat again,мы планирует лечь спать пораньше,we is planning to go to bed earlier,она планирует проверить это,she is planning to check it,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L008.m4a",SoarSystem::L008
9,"После того как… , …","After…, …","Хорошо, что…",It's good that…,"Если я начну сейчас, то успею.","If I start now, I'll make it.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","Если получится, я сделаю минимум.","If it works out, I'll do the minimum.","Как только я начну, станет легче.","As soon as I start, it gets easier.","Пока я ем, мне нужен контент.","While I eat, I need content.","Хорошо, что я не хочу спорить.",It's good that I don't want to argue.,"Хорошо, что мы справимся?",It's good that we'll manage.,"Хорошо, что это не так страшно.",It's good that it's not that scary.,"Хорошо, что он просто устал.",It's good that he's just tired.,"Хорошо, что это нормально.",It's good that it's normal.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L009.m4a",SoarSystem::L009
10,Можно вопрос?,Can I ask a question?,"(кто-то) забыл(а), что…",(someone) forgot that…,Что ты имеешь в виду?,What do you mean?,"Можно ещё раз, но помедленнее?","Can you repeat, but slower?",Как сказать «мне лень» по-русски?,How do you say 'I can't be bothered' in Russian?,Что это значит в обычной речи?,What does this mean in everyday speech?,Можно вопрос? Я запутался/запуталась.,Can I ask a question? I'm confused.,"он забыл(а), что мне нужно больше времени.",he forgot that I need more time.,"я забыл(а), что это хорошая идея.",I forgot that it's a good idea.,"она забыл(а), что это не так страшно.",she forgot that it's not that scary.,"они забыл(а), что это не так страшно.",they forgot that it's not that scary.,"мы забыл(а), что это нормально.",we forgot that it's normal.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L010.m4a",SoarSystem::L010
11,(кто-то) собирается + инфинитив,(someone) is going to…,(кто-то) не может + инфинитив,(someone) can't…,она собирается поговорить с ней,she is going to talk to her,они собирается проверить это,they is going to check it,он собирается выйти на прогулку,he is going to go for a walk,ты собирается записать аудио,you is going to record audio,мы собирается продолжить учиться,we is going to continue studying,мы не может поговорить с ней,we can't talk to her,они не может проверить это,they can't check it,он не может поговорить с ним?,he can't talk to him,я не может выйти на прогулку,I can't go for a walk,она не может лечь спать пораньше,she can't go to bed earlier,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L011.m4a",SoarSystem::L011
12,"(кто-то) предполагает, что…",(someone) assumes that…,"(кто-то) вроде думает, что…",(someone) kind of thinks that…,"ты предполагает, что мне нужно больше времени.",you assumes that I need more time.,"мы предполагает, что мы справимся.",we assumes that we'll manage.,"она предполагает, что он просто устал.",she assumes that he's just tired.,"он предполагает, что это нормально.",he assumes that it's normal.,"они предполагает, что это нормально.",they assumes that it's normal.,"они вроде думает, что я не хочу спорить.",they kind of thinks that I don't want to argue.,"мы вроде думает, что это реально помогает.",we kind of thinks that it really helps.,"она вроде думает, что всё зависит от ситуации.",she kind of thinks that it depends on the situation.,"я вроде думает, что всё зависит от ситуации.",I kind of thinks that it depends on the situation.,"ты вроде думает, что всё зависит от ситуации.",you kind of thinks that it depends on the situation.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L012.m4a",SoarSystem::L012
13,"Важно, что…",It's important that…,(кто-то) умеет + инфинитив,(someone) knows how to…,"Важно, что мы справимся.",It's important that we'll manage.,"Важно, что мы справимся.",It's important that we'll manage.,"Важно, что я не хочу спорить.",It's important that I don't want to argue.,"Важно, что всё зависит от ситуации.",It's important that it depends on the situation.,"Важно, что она права.",It's important that she's right.,я умеет перестать откладывать,I knows how to stop procrastinating,ты умеет поговорить с ней,you knows how to talk to her,она умеет лечь спать пораньше,she knows how to go to bed earlier,они умеет проверить это,they knows how to check it,мы умеет продолжить учиться,we knows how to continue studying,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L013.m4a",SoarSystem::L013
